Id,tot_area,gar_adj_area,yr_built,yr_remod,qual,MS Zoning_A (agr),MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RM,Func_Maj,Func_Min,Func_Mod,Func_Sev,SalePrice
1013,3768.0,309.41774538309215,2004,2004,9,0,0,0,0,0,0,0,0,0,0,387000
2084,1133.0,0.0,1920,2002,4,0,0,0,0,0,0,0,0,0,0,86000
1184,3097.0,253.99964173238908,1976,2007,8,0,0,0,0,0,0,0,0,0,0,290000
728,1042.0,0.0,1900,1950,3,0,1,0,0,0,0,0,0,0,0,44000
950,2765.0,317.0337946468312,2001,2002,6,0,0,0,0,0,0,0,0,0,0,215000
2524,2346.0,231.37058274168533,1972,1972,5,0,0,0,0,0,0,0,0,0,0,146500
2513,2055.0,139.1325177377206,2000,2000,7,0,0,1,0,0,0,0,0,0,0,165000
2028,3240.0,61.33188537009724,1916,1950,6,0,0,0,0,0,1,0,0,0,0,136000
2309,3095.0,253.99964173238908,1957,1957,6,0,0,0,0,0,0,0,1,0,0,252000
51,2390.0,268.3464618974964,2003,2003,7,0,0,0,0,0,0,0,0,0,0,175500
699,2248.0,113.57756550018007,1939,1950,5,0,0,0,0,0,1,0,0,0,0,150000
1881,2400.0,132.07981370084232,1960,1978,5,0,0,0,0,0,0,0,1,0,0,139900
1345,2651.0,102.21980895016208,1930,1992,5,0,0,0,0,0,1,0,0,0,0,162900
166,2232.0,203.19971338591125,1962,1962,6,0,0,0,0,0,0,0,0,0,0,160000
781,660.0,0.0,1947,1950,2,0,0,0,0,0,0,0,1,0,0,63900
379,2847.0,221.21059707238976,1978,1998,6,0,0,0,0,0,0,0,0,0,0,184000
2818,2932.0,243.8396560630935,1959,1959,5,0,0,0,0,0,0,0,0,0,0,149900
1168,3252.0,228.59967755915017,2000,2000,9,0,0,1,0,0,0,0,0,0,0,300000
1396,2709.0,194.70317761163557,1960,1960,5,0,0,0,0,0,0,0,0,1,0,145000
838,2692.0,217.05423929858702,1997,1997,6,0,0,0,0,0,0,0,0,0,0,231500
1492,1992.0,0.0,1940,1969,5,0,0,0,0,0,0,0,0,0,0,108000
637,2404.0,140.39252924844777,1956,1956,5,0,0,0,0,0,0,0,0,0,0,120000
1826,1976.0,162.41591866525752,1961,1961,5,0,0,0,0,0,0,0,0,0,0,128500
173,2036.0,102.21980895016208,1927,1950,5,0,0,0,0,0,1,0,0,0,0,115000
715,2004.0,68.14653930010805,1947,1950,5,0,0,0,0,0,1,0,0,0,0,110000
1183,3938.0,399.0103462850621,1977,1977,9,0,0,0,0,0,0,0,0,0,0,150000
2433,2121.0,186.11246476027782,2004,2004,8,0,0,0,0,0,0,0,0,0,0,178000
2866,2246.0,199.76443003317755,1932,1990,7,0,0,0,0,0,0,0,0,0,0,199500
2311,2338.0,184.72701216901024,1997,1998,6,0,0,0,0,0,0,0,0,0,0,183500
1551,2280.0,133.00344876168737,1967,1967,5,0,0,0,0,0,1,0,0,1,0,126000
1049,2110.0,203.19971338591125,1977,1977,7,0,0,0,0,0,0,0,0,0,0,148500
657,2028.0,204.43961790032415,1939,2006,5,0,0,0,0,0,0,0,0,0,0,149000
414,2311.0,203.19971338591125,1977,1977,6,0,0,0,0,0,0,0,0,0,0,137900
1181,3438.0,218.4396918898546,1993,1993,8,0,0,0,0,0,0,0,0,0,0,324000
1514,1728.0,0.0,1925,1950,5,0,0,0,0,0,0,0,0,0,0,98000
1040,1470.0,74.96119323011885,1973,1973,6,0,0,0,0,0,1,0,0,0,0,103400
216,1800.0,0.0,1875,1996,5,0,0,0,0,0,0,0,0,0,0,94000
1720,3108.0,289.55959157492356,2006,2006,8,0,0,0,0,0,0,0,0,0,0,209500
2331,4918.0,429.12788632553224,2006,2006,10,0,0,0,0,0,0,0,0,0,0,545224
204,2340.0,0.0,1912,2009,6,0,0,0,0,0,1,0,0,0,0,159900
19,1728.0,113.57756550018007,1951,1951,4,0,0,0,0,0,0,0,0,0,0,141000
2438,2871.0,199.04335561210854,2000,2000,6,0,0,0,0,0,0,0,0,0,0,215000
89,2080.0,73.82541757511704,1962,2010,5,0,0,0,0,0,0,0,0,0,0,127000
240,2344.0,169.02521613464438,1954,1998,5,0,0,0,0,0,0,0,0,0,0,128000
105,3060.0,393.46853591999184,2010,2010,8,0,0,1,0,0,0,0,0,0,0,267916
2020,2251.0,159.0085917002521,1931,1950,6,0,0,0,0,0,1,0,0,0,0,127500
888,1922.0,380.44055357619743,2003,2003,7,0,0,0,0,0,0,0,0,0,0,198500
1019,2844.0,266.00689752337473,1981,1981,6,0,0,0,0,0,0,0,0,0,0,175500
2132,2827.0,224.44331978534746,2000,2000,7,0,0,0,0,0,0,0,0,0,0,217500
203,2850.0,162.41591866525752,1915,1950,4,0,0,0,0,0,1,0,0,0,0,149500
420,1984.0,302.9522999571768,1966,2004,5,0,0,0,0,0,0,0,0,0,0,148800
2333,4860.0,405.35035172701987,2005,2006,9,0,0,0,0,0,0,0,0,0,0,556581
632,2956.0,204.12334844675632,1957,1957,6,0,0,0,0,0,0,0,0,0,0,156500
2800,2925.0,281.7086935577406,1995,1996,7,0,0,0,0,0,0,0,0,0,0,237000
1885,1824.0,137.1598065354901,1958,1985,5,0,0,0,0,0,0,0,0,0,0,120000
1734,2652.0,179.18520180393995,2005,2005,6,0,0,0,0,0,0,0,0,0,0,203000
2327,2395.0,212.8978815247843,1987,1987,8,0,0,0,0,0,0,0,0,0,0,130000
1282,2391.0,204.12334844675632,1964,1964,6,0,0,0,0,0,0,0,0,0,0,167900
2688,1920.0,163.55169432025932,1970,1970,4,0,0,0,0,0,0,0,0,0,0,129000
2581,2306.0,206.43243609886895,1957,1996,5,0,0,0,0,0,0,0,1,0,0,134450
2067,2232.0,266.00689752337473,1918,2007,5,0,0,0,0,0,0,0,0,0,0,112000
2115,2802.0,285.8650513315433,1988,1988,7,0,0,0,0,0,0,0,0,0,0,207000
754,3168.0,0.0,1922,1950,5,0,0,0,0,0,1,0,0,0,1,62500
1079,2390.0,268.3464618974964,2003,2004,7,0,0,0,0,0,0,0,0,0,0,154000
2615,1632.0,87.45472543513866,1957,1957,5,0,0,0,0,0,0,0,0,0,0,129900
329,1648.0,155.1706902219686,1976,1976,5,0,0,0,0,0,1,0,0,0,0,85000
1320,1683.0,81.77584716012966,1926,1950,7,0,0,0,0,0,1,0,0,0,0,116900
416,2296.0,203.19971338591125,1978,1978,6,0,0,0,0,0,0,0,0,0,0,148500
284,1596.0,79.50429585012606,1941,1950,4,0,0,0,0,0,0,0,0,0,0,80000
1385,2186.0,233.67967039379795,1984,1984,5,0,0,0,0,0,0,0,0,0,0,152000
275,1373.0,90.57810848639362,1954,1954,5,0,0,0,0,0,0,0,0,0,0,155891
2024,2144.0,163.55169432025932,1920,1950,6,0,0,0,0,0,0,0,0,0,0,165000
68,2436.0,312.1886505656273,2009,2010,7,0,0,1,0,0,0,0,0,0,0,204500
1910,2372.0,144.08706949182798,1942,1995,5,0,0,0,0,0,0,0,0,0,0,146500
381,2872.0,220.74877954196722,1978,1978,7,0,0,0,0,0,0,0,0,0,0,157000
1323,3808.0,97.10881850265396,1890,1999,7,0,0,0,0,0,1,0,0,0,0,184000
2432,2292.0,181.49428945605257,2002,2003,6,0,0,0,0,0,0,0,0,0,0,183200
777,2184.0,133.00344876168737,1962,1962,5,0,0,0,0,0,0,0,0,0,0,139000
1107,3729.0,453.9666324053427,1993,1994,7,0,0,0,0,0,0,0,0,0,0,341000
30,1470.0,74.96119323011885,1971,1971,6,0,0,0,0,0,1,0,0,0,0,96000
282,2242.0,203.19971338591125,2003,2004,4,0,0,0,0,0,1,0,0,0,0,140000
188,2148.0,426.25758057999116,1957,1996,6,0,0,0,0,0,1,0,0,0,0,149700
2356,2130.0,228.59967755915017,1975,1975,5,0,0,0,0,0,0,0,0,0,0,153500
1554,733.0,131.64142241012615,1952,1952,1,1,0,0,0,0,0,0,0,0,1,13100
1464,2652.0,250.7669190194314,2003,2003,7,0,0,0,0,0,0,0,0,0,0,224900
2469,2523.0,209.2033412814041,2005,2005,7,0,0,1,0,0,0,0,0,0,0,176000
1834,4555.0,249.84328395858634,1992,2000,8,0,0,0,0,0,0,0,0,0,0,285000
1779,2949.0,348.2104179385843,2007,2007,8,0,0,0,0,0,0,0,0,0,0,282922
2569,3081.0,224.90513731576996,1966,1966,7,0,0,0,0,0,0,0,0,0,0,226000
2334,3810.0,377.0437629192671,2006,2006,8,0,0,0,0,0,0,0,0,0,0,361919
2330,4196.0,379.3082900238873,2005,2006,9,0,0,0,0,0,0,0,0,0,0,457347
2119,2709.0,244.30147359351605,1976,1976,8,0,0,0,0,0,0,0,0,0,0,279000
988,3134.0,329.7377167216833,1977,1977,6,0,0,0,0,0,0,0,0,0,0,196000
382,2460.0,221.21059707238976,1976,1976,7,0,0,0,0,0,0,0,0,0,0,152000
670,3882.0,274.85770851043577,1969,1969,5,0,0,0,0,0,0,0,0,0,0,200000
2760,3160.0,348.2104179385843,2005,2006,8,0,0,0,0,0,0,0,0,0,0,294900
543,2900.0,363.91221397295016,2008,2009,7,0,0,0,0,0,0,0,0,0,0,224243
2835,2170.0,149.9223864602377,1915,1950,6,0,0,0,0,0,0,0,0,0,0,92000
1735,2184.0,184.72701216901024,2007,2007,7,0,0,0,0,0,0,0,0,0,0,179540
448,4784.0,447.03936944900477,2003,2003,10,0,0,0,0,0,0,0,0,0,0,386250
2287,1522.0,168.14113751805155,1970,1970,4,0,0,0,0,0,1,0,0,0,0,106500
524,3024.0,374.9958347030908,2008,2008,10,0,0,1,0,0,0,0,0,0,0,310000
1767,3451.0,339.6790656930334,1998,1998,7,0,0,0,0,0,0,0,0,0,0,252000
2206,2564.0,68.14653930010805,1941,1950,7,0,0,0,0,0,0,0,0,0,0,164000
1740,2184.0,184.72701216901024,2007,2007,7,0,0,0,0,0,0,0,0,0,0,177594
199,1568.0,177.18100218028093,1936,1980,5,0,0,0,0,0,1,0,0,0,0,123900
2214,3994.0,245.32754148038896,1918,1950,6,0,0,0,0,0,0,0,0,0,0,239000
323,2332.0,243.8396560630935,1965,1977,5,0,0,0,0,0,0,0,0,0,0,169000
2421,2931.0,193.96336277746076,2003,2004,7,0,0,0,0,0,0,0,0,0,0,234000
952,2244.0,249.84328395858634,1977,1977,6,0,0,0,0,0,0,0,0,0,0,173000
24,2008.0,221.6724146028123,1970,1970,6,0,0,0,0,0,0,0,0,0,0,149000
1139,2324.0,223.05786719407988,2007,2007,7,0,0,0,0,0,0,0,0,0,0,170000
518,2872.0,244.30147359351605,2008,2009,7,0,0,1,0,0,0,0,0,0,0,225000
1390,1920.0,138.54525912675768,1963,2003,5,0,0,0,0,0,0,0,0,0,0,144900
277,2392.0,155.1706902219686,1968,1968,5,0,0,0,0,0,0,0,0,0,0,144000
54,2525.0,198.581538081686,2004,2005,8,0,0,0,0,0,0,0,0,0,0,192000
649,2062.0,106.21803199718089,1952,2005,5,0,0,0,0,0,0,0,0,0,0,145500
2600,1168.0,75.6870601125982,1900,1998,4,0,0,0,0,0,0,0,0,0,0,86900
617,3010.0,233.21785286337544,1953,1953,6,0,0,0,0,0,0,0,0,0,0,149500
2209,1874.0,28.685001318052223,1938,1950,5,0,0,0,0,0,0,0,0,0,0,119750
2814,2250.0,260.4650871583044,2005,2006,6,0,0,0,0,0,0,0,0,0,0,173900
2542,2100.0,169.94885119548942,1961,1961,5,0,0,0,0,0,0,0,0,0,0,136500
2323,4749.0,285.40323380112085,1994,1994,8,0,0,0,0,0,0,0,0,0,0,270000
1393,2854.0,260.4650871583044,1960,1975,6,0,0,0,0,0,0,0,0,0,0,235000
490,1814.0,226.45271046202228,1999,2000,7,0,0,0,0,0,0,0,0,0,0,156000
542,2228.0,163.55169432025932,2003,2004,5,0,0,0,0,0,0,0,0,0,0,153000
973,2448.0,185.65064722985528,1999,1999,6,0,0,0,0,0,1,0,0,0,0,165000
1012,3626.0,371.3824451577166,2005,2007,9,0,0,0,0,0,0,0,0,0,0,325000
2218,2083.0,149.9223864602377,1941,1950,5,0,0,0,0,0,0,0,0,0,0,140000
2033,3035.0,303.87593501802183,1963,1963,6,0,0,0,0,0,1,0,0,0,0,202500
1071,3404.0,485.83204200449694,2008,2008,9,0,0,0,0,0,0,0,0,0,0,367294
1583,2970.0,277.09051825351537,1988,1989,6,0,0,0,0,0,0,0,0,0,0,175000
2858,2473.0,182.29199262778903,1915,1970,7,0,0,0,0,0,0,0,0,0,0,140000
2265,2505.0,243.8396560630935,1985,1985,7,0,0,0,0,0,0,0,0,0,0,174000
1088,2022.0,184.72701216901024,2005,2005,7,0,0,0,0,0,0,0,0,0,0,190000
698,1968.0,0.0,1910,2002,5,0,0,0,0,0,1,0,0,0,0,129000
1896,3244.0,235.52694051548806,1959,1991,6,0,0,0,0,0,0,0,0,0,0,200000
628,3038.0,235.06512298506553,1968,1968,6,0,0,0,0,0,0,0,0,0,0,193500
1212,2184.0,232.7560353329529,1964,1964,6,0,0,0,0,0,0,0,0,0,0,145000
2864,2693.0,128.05870510145303,1929,1950,7,0,0,0,0,0,0,0,0,0,0,218000
2740,1488.0,262.7741748104171,1952,2002,5,0,0,0,0,0,0,0,0,0,0,135000
2560,3068.0,110.83620730140615,1952,1952,5,0,0,0,0,0,0,0,1,0,0,146500
1716,2724.0,212.43606399436177,2005,2006,6,0,0,0,0,0,0,0,0,0,0,194700
1130,2436.0,213.35969905520682,2007,2008,7,0,0,1,0,0,0,0,0,0,0,230348
201,2192.0,81.77584716012966,1923,1950,6,0,0,0,0,0,1,0,0,0,0,109500
2886,3250.0,266.00689752337473,1979,1979,6,0,0,0,0,0,0,0,0,0,0,242500
2328,2831.0,332.6929333286676,1987,1987,7,0,0,0,0,0,0,0,0,0,0,239000
2583,2100.0,132.07981370084232,1954,2000,6,0,0,0,0,0,0,0,0,0,0,156000
1206,1814.0,99.94825764015847,1957,1957,4,0,0,0,0,0,0,0,0,0,0,109008
2242,845.0,72.68964192011525,1939,1950,2,0,0,0,0,0,1,1,0,0,0,68104
1105,3743.0,346.8249653473167,1995,1995,8,0,0,0,0,0,0,0,0,0,0,290000
121,2418.0,232.7560353329529,1966,1966,5,0,0,0,0,0,0,0,0,0,0,159000
1223,1254.0,27.609313768625263,1937,1950,4,0,0,0,0,0,0,0,0,0,0,87000
265,3182.0,309.41774538309215,2001,2002,8,0,0,0,0,0,0,0,0,0,0,272000
2813,2672.0,231.83240027210786,2005,2006,7,0,0,0,0,0,0,0,0,0,0,198000
1294,2457.0,124.93532205019808,1940,1985,4,0,0,0,0,0,1,0,0,1,0,119164
2745,1124.0,0.0,1954,1954,5,0,0,0,0,0,0,0,1,0,0,93000
1094,2874.0,199.04335561210854,2000,2001,7,0,0,0,0,0,0,0,0,0,0,226750
651,2677.0,9.837212269236757,1900,1970,3,0,0,0,0,0,0,0,0,0,0,95000
198,2196.0,88.59050109014046,1948,1950,6,0,0,0,0,0,1,0,0,0,0,139900
131,2034.0,0.0,1940,1966,3,0,0,0,0,0,0,0,0,1,0,76500
1258,1344.0,87.45472543513866,1940,2005,4,0,0,0,0,0,0,0,0,0,0,86900
1599,2273.0,118.68710531858908,1968,1968,5,0,0,0,0,0,0,0,0,0,0,152500
1508,1841.0,132.07981370084232,1953,1953,4,0,0,0,0,0,0,0,0,0,0,99000
615,1128.0,0.0,1940,1950,4,0,0,0,0,0,0,0,0,0,0,82500
1815,3150.0,244.30147359351605,1992,1992,6,0,0,0,0,0,0,0,0,0,0,179200
2712,2118.0,132.07981370084232,1966,1966,5,0,0,0,0,0,0,0,0,0,0,142500
2051,2010.0,124.93532205019808,1964,1964,4,0,0,0,0,0,0,0,0,0,0,115400
1863,2986.0,300.18139477464166,2001,2001,7,0,0,1,0,0,0,0,0,0,0,226000
2510,1800.0,136.2930786002161,2005,2005,7,0,0,1,0,0,0,0,0,0,0,144152
1069,4455.0,450.0747620432693,2003,2003,8,0,0,0,0,0,0,0,0,0,0,370000
336,1666.0,228.59967755915017,1984,1984,5,0,0,0,0,0,0,0,0,0,0,149900
2417,2184.0,198.11972055126347,2006,2006,6,0,0,0,0,0,0,0,0,0,0,172785
1962,1728.0,204.43961790032415,1950,2002,5,0,0,0,0,0,0,0,0,0,0,129000
372,2948.0,200.89062573379863,1979,1998,6,0,0,0,0,0,0,0,0,0,0,181000
2578,2428.0,93.30823208225347,1956,1956,5,0,0,0,0,0,0,0,0,0,0,148000
2824,1828.0,0.0,2002,2002,6,0,0,0,0,0,0,0,0,0,0,117250
471,2928.0,198.581538081686,2005,2006,7,0,0,0,0,0,0,0,0,0,0,192500
1544,2272.0,208.74152375098157,1980,1980,6,0,0,0,0,0,1,0,0,0,0,151000
2141,1764.0,130.89814423895754,1972,1972,5,0,0,0,0,0,0,0,0,0,0,112500
2008,2082.0,140.55223730647285,1920,1950,5,0,0,0,0,0,0,1,0,0,0,144000
1075,3600.0,435.9557487188642,2007,2008,9,0,0,0,0,0,0,0,0,0,0,370967
34,2311.0,203.19971338591125,1975,1975,6,0,0,0,0,0,0,0,0,0,0,149900
847,2491.0,227.67604249830512,2002,2002,7,0,0,0,0,0,0,0,0,0,0,195000
1629,1866.0,181.03247192563003,1992,1992,7,0,0,0,0,0,0,0,0,0,0,163900
2073,2712.0,254.92327679323412,1984,1984,6,0,0,0,0,0,0,0,0,0,0,182000
960,4226.0,360.21767372957,2008,2008,9,0,0,0,0,0,0,0,0,0,0,410000
955,3177.0,190.81031004030254,1991,1991,5,0,0,0,0,0,0,0,0,0,0,152000
2476,2577.0,213.35969905520682,2005,2005,7,0,0,0,0,0,0,0,0,0,0,184000
1590,2688.0,362.06494385126007,1997,1998,7,0,0,0,0,0,1,0,0,0,0,206300
2913,3304.0,320.1751141118977,1970,1970,5,0,0,0,0,0,0,0,0,0,0,146500
149,2169.0,121.45801050112424,1956,1956,4,0,0,0,0,0,0,0,0,0,0,108000
2525,2490.0,224.90513731576996,1968,1992,7,0,0,0,0,0,0,0,0,0,0,170000
1470,1696.0,193.96336277746076,2004,2004,6,0,0,0,0,0,1,0,0,0,0,145000
412,2112.0,203.19971338591125,1975,1975,7,0,0,0,0,0,0,0,0,0,0,123000
1399,2582.0,199.04335561210854,1996,1997,6,0,0,0,0,0,0,0,0,0,0,173000
